,loss≤0%,loss≤5%,loss≤10%,loss≤15%,loss≤20%,loss≤25%,loss≤30%,loss≤35%,loss≤40%,loss≤45%,loss≤50%
speedup≥0%,0.13114754098360656,0.5163934426229508,0.7049180327868853,0.7950819672131147,0.8442622950819673,0.9262295081967213,0.9426229508196722,0.9590163934426229,0.9754098360655737,0.9836065573770492,0.9918032786885246
speedup≥5%,0.10655737704918032,0.48360655737704916,0.6639344262295082,0.7540983606557377,0.8032786885245902,0.8770491803278688,0.8934426229508197,0.9098360655737705,0.9262295081967213,0.9344262295081968,0.9426229508196722
speedup≥10%,0.10655737704918032,0.4672131147540984,0.639344262295082,0.7213114754098361,0.7704918032786885,0.8360655737704918,0.8524590163934426,0.8688524590163934,0.8852459016393442,0.8934426229508197,0.9016393442622951
speedup≥15%,0.10655737704918032,0.4180327868852459,0.5819672131147541,0.6639344262295082,0.7131147540983607,0.7786885245901639,0.7950819672131147,0.8114754098360656,0.8278688524590164,0.8360655737704918,0.8442622950819673
speedup≥20%,0.10655737704918032,0.4016393442622951,0.5573770491803278,0.639344262295082,0.6885245901639344,0.7459016393442623,0.7622950819672131,0.7786885245901639,0.7950819672131147,0.8032786885245902,0.8114754098360656
speedup≥25%,0.09016393442622951,0.3770491803278688,0.5245901639344263,0.6065573770491803,0.6557377049180327,0.7131147540983607,0.7295081967213115,0.7459016393442623,0.7622950819672131,0.7704918032786885,0.7786885245901639
speedup≥30%,0.09016393442622951,0.36885245901639346,0.5081967213114754,0.5901639344262295,0.639344262295082,0.6967213114754098,0.7131147540983607,0.7295081967213115,0.7459016393442623,0.7540983606557377,0.7622950819672131
speedup≥35%,0.07377049180327869,0.3360655737704918,0.47540983606557374,0.5573770491803278,0.6065573770491803,0.6639344262295082,0.680327868852459,0.6967213114754098,0.7131147540983607,0.7213114754098361,0.7295081967213115
speedup≥40%,0.05737704918032787,0.30327868852459017,0.4426229508196721,0.5163934426229508,0.5655737704918032,0.6229508196721312,0.639344262295082,0.6557377049180327,0.6721311475409836,0.680327868852459,0.6885245901639344
speedup≥45%,0.040983606557377046,0.28688524590163933,0.4180327868852459,0.4918032786885246,0.5409836065573771,0.5983606557377049,0.6147540983606558,0.6311475409836066,0.6475409836065574,0.6557377049180327,0.6639344262295082
speedup≥50%,0.040983606557377046,0.2786885245901639,0.4098360655737705,0.47540983606557374,0.5245901639344263,0.5819672131147541,0.5983606557377049,0.6147540983606558,0.6311475409836066,0.639344262295082,0.6475409836065574
